trial,stimulus,chosen_action,correct_action,is_correct,accuracy
128,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9921875
129,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9922480620155039
130,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9923076923076923
131,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9923664122137404
132,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9924242424242424
133,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9924812030075187
134,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9925373134328358
135,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9925925925925926
136,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9926470588235294
137,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9927007299270073
138,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9927536231884058
139,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9928057553956835
140,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9928571428571429
141,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9929078014184397
142,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9929577464788732
143,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.993006993006993
144,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9930555555555556
145,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.993103448275862
146,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9931506849315068
147,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9931972789115646
148,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9932432432432432
149,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9932885906040269
150,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9933333333333333
151,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9933774834437086
152,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.993421052631579
153,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9934640522875817
154,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9935064935064936
155,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9935483870967742
156,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9935897435897436
157,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9936305732484076
158,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9936708860759493
159,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9937106918238994
160,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.99375
161,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9937888198757764
162,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9938271604938271
163,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9938650306748467
164,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9939024390243902
165,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9939393939393939
166,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9939759036144579
167,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9940119760479041
168,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9940476190476191
169,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9940828402366864
170,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9941176470588236
171,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9941520467836257
172,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9941860465116279
173,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9942196531791907
174,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9942528735632183
175,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9942857142857143
176,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9943181818181818
177,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9943502824858758
178,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9943820224719101
179,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.994413407821229
180,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9944444444444445
181,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.994475138121547
182,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9945054945054945
183,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.994535519125683
184,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9945652173913043
185,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9945945945945946
186,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9946236559139785
187,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9946524064171123
188,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9946808510638298
